"season_order","position","ab","gp","pa","singles","doubles","triples","hr","tb","r","rbi","bb","ibb","so","hbp","sf","sh","gidp","sb","cs","ba","obp","slg","ops","k_percent","bb_percent","player_id"
1,LAA,1,8,,24,2,3,0,0,1,5,2,0,5,0,1,0,1,0,0,0,0,0,0,0,0,5
1,LAD,2,92,,195,36,8,1,3,28,19,35,3,51,0,0,0,6,6,2,0,0,0,0,0,0,5
2,SEA,1,153,,607,101,22,2,12,84,50,59,7,124,0,1,1,3,13,3,0,0,0,0,0,0,5
3,LAA,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3,SDP,2,105,,275,41,15,5,5,35,32,17,1,42,0,2,6,2,8,4,0,0,0,0,0,0,5
4,CHC,1,54,,134,21,10,1,4,16,20,8,0,28,0,2,0,4,4,1,0,0,0,0,0,0,5
4,DET,2,15,,35,5,2,0,0,1,4,2,0,10,0,0,0,3,0,0,0,0,0,0,0,0,5
4,ATL,3,14,,19,2,0,0,0,1,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,5
5,SDP,1,63,,193,38,8,0,0,17,14,20,2,41,0,0,1,4,2,1,0,0,0,0,0,0,5
6,PIT,1,104,,321,44,11,0,11,29,31,29,5,69,7,4,0,4,0,0,0,0,0,0,0,0,5
7,PIT,1,144,,455,79,16,1,8,34,45,20,3,106,8,2,8,9,0,2,0,0,0,0,0,0,5
8,HOU,1,43,,98,16,3,0,1,8,7,5,0,29,1,0,1,1,1,1,0,0,0,0,0,0,5
9,CHC,1,156,,548,102,26,4,7,73,44,33,1,58,3,1,3,11,6,1,0,0,0,0,0,0,5
10,OAK,1,46,,113,15,7,0,1,8,6,22,0,32,1,0,0,1,1,0,0,0,0,0,0,0,5
11,TOR,1,92,,332,39,14,0,27,64,65,59,2,63,4,4,0,11,5,2,0,0,0,0,0,0,5
12,NYM,1,89,,179,28,14,2,3,26,17,25,4,45,5,2,0,0,5,3,0,0,0,0,0,0,5
13,NYM,1,70,,194,22,2,0,8,21,20,19,0,58,0,2,0,3,5,1,0,0,0,0,0,0,5
14,CHW,1,151,,525,83,24,0,16,62,60,40,0,89,7,2,8,10,5,4,0,0,0,0,0,0,5
15,SFG,1,145,,411,73,27,6,7,47,56,54,5,106,3,4,0,2,12,2,0,0,0,0,0,0,5
16,STL,1,151,,547,88,26,1,32,83,97,65,15,124,2,4,1,9,13,6,0,0,0,0,0,0,5
17,TEX,1,156,,604,123,33,2,36,95,102,36,8,82,5,9,0,8,1,0,0,0,0,0,0,0,5
18,WSN,1,129,,227,50,11,0,5,25,25,28,3,53,2,1,3,2,15,3,0,0,0,0,0,0,5
19,DET,1,94,,291,57,10,6,2,44,29,25,0,80,7,1,6,4,21,0,0,0,0,0,0,0,5
20,KCR,1,57,,215,27,14,1,7,21,36,9,0,25,0,3,1,10,0,1,0,0,0,0,0,0,5
21,BAL,1,102,,341,58,19,0,12,41,40,31,0,103,1,3,0,8,0,1,0,0,0,0,0,0,5
22,COL,1,42,,113,22,8,0,2,15,9,4,0,17,3,0,1,4,1,2,0,0,0,0,0,0,5
23,SFG,1,141,,393,72,14,5,5,56,34,51,2,104,2,2,5,0,26,6,0,0,0,0,0,0,5
24,ARI,1,80,,324,72,21,5,0,47,23,12,0,55,0,2,0,5,7,10,0,0,0,0,0,0,5
25,DET,1,132,,470,77,22,2,12,52,54,26,1,104,5,2,0,11,6,3,0,0,0,0,0,0,5
26,HOU,1,146,,355,54,9,2,7,39,28,41,1,96,7,1,0,6,15,4,0,0,0,0,0,0,5
27,MIA,1,64,,244,55,3,4,1,30,11,25,1,52,1,0,4,3,30,3,0,0,0,0,0,0,5
28,LAA,1,101,,168,27,7,0,3,27,19,15,0,44,3,3,6,2,3,1,0,0,0,0,0,0,5
29,ATL,1,155,,624,126,26,10,9,96,57,70,1,155,3,4,2,2,42,13,0,0,0,0,0,0,5
30,CLE,1,149,,552,112,37,4,6,63,60,53,12,56,0,4,0,7,12,9,0,0,0,0,0,0,5
31,MIA,1,31,,100,18,8,0,3,14,8,13,2,16,0,0,0,1,1,1,0,0,0,0,0,0,5
32,MIL,1,154,,598,111,36,3,41,108,112,63,15,128,11,5,0,12,30,7,0,0,0,0,0,0,5
33,COL,1,46,,112,14,7,0,5,14,11,12,0,34,0,2,0,3,2,2,0,0,0,0,0,0,5
34,PHI,1,56,,187,26,11,2,5,21,26,21,2,34,2,2,0,6,0,0,0,0,0,0,0,0,5
35,CIN,1,155,,560,67,35,5,34,89,99,62,11,155,4,7,0,5,9,3,0,0,0,0,0,0,5
36,MIA,1,106,,343,38,15,1,12,29,41,49,5,103,3,2,1,8,0,0,0,0,0,0,0,0,5
37,SFG,1,60,,136,28,1,0,0,15,7,10,1,25,1,1,2,6,5,3,0,0,0,0,0,0,5
38,MIN,1,42,,111,15,6,0,1,7,5,9,0,26,2,0,0,3,0,0,0,0,0,0,0,0,5
39,KCR,1,161,,614,130,32,1,29,72,107,54,9,111,7,4,0,20,2,1,0,0,0,0,0,0,5
40,CHC,1,13,,43,3,0,0,0,1,2,3,1,10,1,0,0,2,0,1,0,0,0,0,0,0,5
40,BOS,2,34,,100,24,2,0,1,9,7,2,0,21,1,2,1,1,0,2,0,0,0,0,0,0,5
41,CLE,1,143,,555,98,35,1,16,70,68,52,3,99,6,2,1,18,9,4,0,0,0,0,0,0,5
42,SDP,1,115,,398,74,19,3,2,49,24,43,2,110,3,0,5,3,44,4,0,0,0,0,0,0,5
43,SFG,1,113,,459,113,25,10,11,84,60,36,4,63,0,5,1,8,13,5,0,0,0,0,0,0,5
44,DET,1,161,,622,121,40,0,44,109,139,66,17,98,3,6,0,28,4,1,0,0,0,0,0,0,5
45,KCR,1,61,,222,41,9,2,7,27,31,15,0,56,3,4,0,4,10,0,0,0,0,0,0,0,5
46,CIN,1,70,,150,18,7,2,1,9,13,4,0,20,1,1,0,4,4,0,0,0,0,0,0,0,5
47,LAA,1,138,,457,85,20,0,10,55,53,56,1,59,0,4,3,6,4,3,0,0,0,0,0,0,5
48,CHC,1,89,,174,40,6,0,0,26,5,11,0,43,0,0,7,0,30,3,0,0,0,0,0,0,5
49,NYY,1,161,,627,114,48,1,33,105,94,61,10,96,7,2,0,22,3,2,0,0,0,0,0,0,5
50,SEA,1,59,,164,24,6,0,5,17,20,21,1,46,3,1,0,7,1,0,0,0,0,0,0,0,5
51,STL,1,114,,296,54,22,5,6,44,46,34,2,63,3,7,0,10,1,1,0,0,0,0,0,0,5
52,CLE,1,48,,147,29,6,3,2,20,11,8,1,35,1,1,1,3,8,1,0,0,0,0,0,0,5
53,MIN,1,138,,470,106,18,1,1,65,40,52,0,65,4,4,7,9,9,5,0,0,0,0,0,0,5
54,OAK,1,67,,218,24,12,0,16,38,39,39,1,83,0,3,0,4,0,0,0,0,0,0,0,0,5
55,MIN,1,106,,299,52,17,2,1,33,30,16,0,52,3,5,3,6,21,1,0,0,0,0,0,0,5
56,CHC,1,52,,170,29,11,0,5,16,22,17,2,51,2,1,0,4,0,0,0,0,0,0,0,0,5
57,HOU,1,87,,257,43,15,2,6,29,29,31,2,61,1,4,2,8,0,0,0,0,0,0,0,0,5
58,CHC,1,162,,646,128,29,12,14,78,78,36,5,100,4,5,0,15,25,13,0,0,0,0,0,0,5
59,NYM,1,78,,166,27,11,1,4,18,22,17,0,35,1,0,2,10,0,1,0,0,0,0,0,0,5
60,OAK,1,129,,487,89,25,5,23,70,82,43,5,102,7,3,0,9,16,4,0,0,0,0,0,0,5
61,BAL,1,64,,158,24,6,0,2,15,12,6,1,24,1,0,4,2,3,2,0,0,0,0,0,0,5
62,NYY,1,113,,278,50,12,0,16,36,37,30,3,59,1,4,0,10,0,0,0,0,0,0,0,0,5
63,CLE,1,43,,142,26,6,1,5,16,16,8,0,27,1,0,0,2,2,1,0,0,0,0,0,0,5
64,CLE,1,155,,598,108,43,2,16,88,67,73,0,150,14,1,0,10,21,7,0,0,0,0,0,0,5
65,BOS,1,76,,259,57,15,2,2,33,19,8,2,47,0,0,5,2,16,3,0,0,0,0,0,0,5
66,CHC,1,69,,199,27,12,0,1,16,16,16,0,39,0,0,0,10,0,1,0,0,0,0,0,0,5
67,MIA,1,39,,93,11,1,0,1,10,10,9,1,12,0,2,1,4,0,2,0,0,0,0,0,0,5
68,COL,1,136,,420,67,27,10,18,62,72,21,0,117,2,1,2,6,7,3,0,0,0,0,0,0,5
69,MIL,1,25,,40,1,0,0,2,2,6,3,0,16,0,1,0,0,0,0,0,0,0,0,0,0,5
69,TBR,2,24,,58,3,5,0,2,4,9,3,0,27,0,0,0,2,0,0,0,0,0,0,0,0,5
70,TOR,1,45,,140,27,11,0,4,16,11,4,0,22,1,0,0,1,0,1,0,0,0,0,0,0,5
71,OAK,1,38,,104,25,2,0,1,10,9,11,0,27,0,1,0,3,3,4,0,0,0,0,0,0,5
72,CIN,1,138,,561,86,33,4,15,72,35,31,0,113,3,3,2,11,4,0,0,0,0,0,0,0,5
73,STL,1,119,,469,87,35,0,22,76,92,37,1,89,1,7,0,15,2,1,0,0,0,0,0,0,5
74,SFG,1,143,,435,75,26,3,4,44,45,33,6,95,3,3,2,4,1,4,0,0,0,0,0,0,5
75,BOS,1,31,,117,18,10,2,3,23,19,3,0,22,2,2,1,1,5,0,0,0,0,0,0,0,5
76,OAK,1,120,,455,75,25,7,11,68,46,45,0,64,0,2,6,9,39,4,0,0,0,0,0,0,5
77,LAD,1,78,,283,58,20,0,6,26,40,9,1,34,2,1,1,7,2,1,0,0,0,0,0,0,5
78,TEX,1,159,,585,83,45,0,24,86,90,48,2,140,5,4,0,7,8,4,0,0,0,0,0,0,5
79,STL,1,51,,126,21,9,1,1,11,11,3,0,19,0,2,0,4,0,1,0,0,0,0,0,0,5
80,COL,1,101,,358,45,30,2,16,53,58,32,1,78,0,4,0,12,8,3,0,0,0,0,0,0,5
81,CLE,1,72,,97,12,4,0,1,5,7,9,1,25,0,0,3,0,0,3,0,0,0,0,0,0,5
82,CLE,1,64,,207,34,6,2,4,25,19,17,0,27,0,0,0,0,4,0,0,0,0,0,0,0,5
83,BAL,1,139,,515,86,20,0,33,75,85,37,6,169,7,3,0,8,2,3,0,0,0,0,0,0,5
84,NYM,1,156,,519,60,26,0,32,66,90,61,3,141,1,3,0,10,0,2,0,0,0,0,0,0,5
85,TOR,1,142,,447,80,24,3,8,64,43,29,3,102,6,4,1,8,46,13,0,0,0,0,0,0,5
86,CHW,1,131,,524,103,29,6,9,81,50,47,3,109,9,1,4,1,26,12,0,0,0,0,0,0,5
87,CHC,1,148,,506,88,28,8,9,76,50,61,1,89,9,4,2,9,7,8,0,0,0,0,0,0,5
88,SDP,1,130,,348,69,19,6,8,56,36,27,0,52,2,3,2,9,13,5,0,0,0,0,0,0,5
89,WSN,1,48,,85,11,5,0,0,13,6,14,0,18,0,1,1,3,1,0,0,0,0,0,0,0,5
90,STL,1,143,,374,64,10,7,4,41,26,37,3,83,5,3,7,5,6,3,0,0,0,0,0,0,5
91,WSN,1,130,,513,90,33,2,25,72,73,30,1,113,3,1,0,17,21,6,0,0,0,0,0,0,5
92,ATL,1,51,,108,16,6,0,2,10,13,9,1,21,0,1,0,4,0,0,0,0,0,0,0,0,5
93,DET,1,88,,314,70,18,5,8,56,35,23,2,53,2,2,3,4,1,1,0,0,0,0,0,0,5
94,MIA,1,120,,319,71,13,2,5,26,39,14,5,53,2,7,0,8,4,2,0,0,0,0,0,0,5
95,HOU,1,31,,109,22,2,2,5,14,16,4,1,17,0,0,0,4,0,0,0,0,0,0,0,0,5
96,CLE,1,43,,124,20,2,1,2,18,11,5,0,40,3,2,1,0,4,0,0,0,0,0,0,0,5
97,OAK,1,75,,274,41,16,0,9,34,33,14,0,61,5,1,0,6,4,1,0,0,0,0,0,0,5
98,MIN,1,134,,484,80,34,1,18,56,75,29,5,98,7,8,0,17,0,0,0,0,0,0,0,0,5
99,HOU,1,91,,178,23,4,1,8,15,16,8,1,38,4,0,1,5,2,4,0,0,0,0,0,0,5
100,MIN,1,84,,316,56,11,1,6,33,33,16,0,58,1,3,4,10,9,2,0,0,0,0,0,0,5
101,ARI,1,40,,135,15,8,1,2,17,12,19,1,35,0,1,0,1,0,1,0,0,0,0,0,0,5
101,OAK,2,39,,152,28,5,0,5,21,16,18,1,41,0,2,0,1,1,1,0,0,0,0,0,0,5
102,NYM,1,121,,401,66,15,0,15,43,57,51,0,120,4,3,0,5,1,0,0,0,0,0,0,0,5
103,CLE,1,81,,232,26,10,0,11,29,31,28,1,59,1,3,0,9,1,2,0,0,0,0,0,0,5
104,CHW,1,151,,539,50,19,0,41,87,96,105,3,222,1,4,0,8,2,1,0,0,0,0,0,0,5
105,KCR,1,102,,292,63,8,5,0,52,9,30,1,56,1,3,4,5,30,5,0,0,0,0,0,0,5
106,ARI,1,22,,85,15,3,2,2,19,5,14,0,15,3,0,1,0,2,3,0,0,0,0,0,0,5
107,LAD,1,133,,423,80,20,1,13,44,52,65,11,107,7,4,6,17,0,0,0,0,0,0,0,0,5
108,LAD,1,110,,415,78,21,1,7,62,31,40,0,70,7,0,2,5,5,0,0,0,0,0,0,0,5
109,BOS,1,74,,303,60,18,0,4,43,26,19,0,43,0,1,0,5,14,3,0,0,0,0,0,0,5
110,TOR,1,151,,542,86,24,0,42,93,110,84,12,94,11,7,0,6,13,3,0,0,0,0,0,0,5
111,KCR,1,155,,605,135,30,7,5,68,52,27,2,100,8,0,8,14,35,5,0,0,0,0,0,0,5
112,CHW,1,36,,87,13,4,1,0,14,3,9,0,23,0,0,1,0,2,0,0,0,0,0,0,0,5
112,MIN,2,14,,44,10,0,0,0,4,6,2,0,8,1,1,1,0,1,0,0,0,0,0,0,0,5
113,TOR,1,145,,558,109,22,1,9,58,51,35,1,70,4,4,7,21,5,1,0,0,0,0,0,0,5
114,WSN,1,160,,594,91,37,2,17,82,56,46,4,189,13,2,3,11,20,6,0,0,0,0,0,0,5
115,LAD,1,149,,556,101,36,1,20,79,89,50,6,124,9,3,0,13,2,2,0,0,0,0,0,0,5
116,DET,1,162,,581,118,33,1,30,83,108,85,18,84,17,7,0,19,1,0,0,0,0,0,0,0,5
117,SEA,1,66,,166,21,5,2,2,18,11,19,0,48,0,2,7,3,4,1,0,0,0,0,0,0,5
118,BAL,1,77,,153,24,2,1,6,15,19,6,0,43,3,1,3,3,1,0,0,0,0,0,0,0,5
119,WSN,1,83,,277,40,12,1,6,22,26,13,3,59,1,3,2,6,1,2,0,0,0,0,0,0,5
120,MIN,1,43,,137,22,5,2,1,16,10,10,0,30,0,0,3,3,3,1,0,0,0,0,0,0,5
121,CHW,1,52,,136,16,6,0,7,19,13,12,0,56,4,0,1,2,2,1,0,0,0,0,0,0,5
122,PHI,1,47,,97,25,2,0,1,13,5,7,2,23,1,0,0,2,0,1,0,0,0,0,0,0,5
123,SDP,1,91,,315,64,13,3,6,45,26,28,0,57,6,1,0,6,8,2,0,0,0,0,0,0,5
124,COL,1,143,,454,94,18,11,13,72,53,68,1,128,0,2,6,5,12,5,0,0,0,0,0,0,5
125,TOR,1,27,,50,6,5,1,0,5,2,4,0,10,0,0,0,0,0,1,0,0,0,0,0,0,5
125,HOU,2,31,,85,15,4,0,2,5,5,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,5
125,TBR,3,24,,57,6,5,0,2,4,8,4,0,16,0,2,0,1,0,0,0,0,0,0,0,0,5
126,ATL,1,93,,192,25,11,0,9,17,32,11,2,70,1,1,0,5,1,1,0,0,0,0,0,0,5
127,KCR,1,148,,561,87,26,3,16,58,49,34,9,119,7,1,0,14,4,7,0,0,0,0,0,0,5
128,PHI,1,55,,195,51,10,3,2,24,14,9,2,18,5,0,1,4,0,1,0,0,0,0,0,0,5
129,CIN,1,128,,422,64,26,6,19,55,67,36,1,103,3,4,0,9,3,2,0,0,0,0,0,0,5
130,ATL,1,147,,540,82,33,2,23,91,94,64,4,129,7,9,0,10,2,0,0,0,0,0,0,0,5
131,STL,1,144,,501,101,25,1,20,70,79,57,2,122,7,2,0,19,3,3,0,0,0,0,0,0,5
132,TBR,1,44,,98,20,3,2,0,14,5,8,0,14,1,0,0,0,7,2,0,0,0,0,0,0,5
133,STL,1,121,,477,100,18,3,5,69,49,44,1,57,1,4,5,7,12,4,0,0,0,0,0,0,5
134,PHI,1,58,,190,24,15,1,3,14,24,7,0,29,0,0,3,6,0,0,0,0,0,0,0,0,5
135,TEX,1,122,,240,57,12,3,1,31,26,14,1,41,10,0,5,4,13,7,0,0,0,0,0,0,5
136,KCR,1,64,,189,39,10,3,0,22,17,11,0,17,0,2,8,3,9,3,0,0,0,0,0,0,5
137,COL,1,60,,89,15,4,0,1,7,8,20,2,24,2,2,0,4,0,0,0,0,0,0,0,0,5
138,KCR,1,53,,181,34,7,1,1,21,15,8,0,35,0,0,0,4,3,0,0,0,0,0,0,0,5
139,TBR,1,42,,100,21,4,0,1,10,9,8,0,24,0,0,1,4,0,0,0,0,0,0,0,0,5
140,ARI,1,145,,514,83,43,1,20,82,82,60,4,130,4,9,0,9,18,3,0,0,0,0,0,0,5
141,OAK,1,99,,279,45,10,0,18,46,47,44,2,104,8,1,1,2,3,1,0,0,0,0,0,0,5
142,TOR,1,43,,98,12,4,0,4,9,13,6,0,32,3,3,1,3,0,0,0,0,0,0,0,0,5
143,MIL,1,137,,415,66,19,4,19,72,51,20,1,98,8,3,6,6,37,6,0,0,0,0,0,0,5
144,BOS,1,37,,102,19,5,2,2,14,17,8,0,26,0,1,0,4,0,0,0,0,0,0,0,0,5
145,BOS,1,123,,484,93,37,0,15,63,86,31,4,81,5,7,0,9,0,0,0,0,0,0,0,0,5
145,LAD,2,36,,145,29,10,1,3,12,22,11,1,29,0,1,0,1,2,0,0,0,0,0,0,0,5
146,COL,1,135,,518,99,31,5,22,89,85,56,11,115,2,3,0,11,20,5,0,0,0,0,0,0,5
147,HOU,1,80,,205,33,13,0,2,21,12,13,0,29,0,0,1,9,3,3,0,0,0,0,0,0,5
148,KCR,1,161,,642,119,51,5,14,93,72,73,3,140,3,3,0,14,10,5,0,0,0,0,0,0,5
149,LAD,1,87,,303,57,9,2,1,38,17,20,0,62,3,2,2,5,32,10,0,0,0,0,0,0,5
150,TOR,1,56,,166,26,7,3,1,25,11,17,0,59,2,0,4,1,15,3,0,0,0,0,0,0,5
151,SDP,1,60,,192,41,7,1,8,28,36,31,1,39,1,2,0,8,0,0,0,0,0,0,0,0,5
152,NYY,1,160,,596,73,18,4,43,102,106,75,4,195,5,7,1,5,10,3,0,0,0,0,0,0,5
153,MIL,1,58,,103,9,7,0,3,8,14,10,0,24,2,2,0,3,0,0,0,0,0,0,0,0,5
154,STL,1,77,,179,24,9,2,4,16,19,13,1,56,1,2,2,4,9,2,0,0,0,0,0,0,5
154,HOU,2,39,,126,18,6,0,7,18,11,6,0,39,0,1,0,3,3,2,0,0,0,0,0,0,5
